Variable name,Unit,Description (EN),Size,Type,Default value,Minimum value,Maximum value,,Package,Inherit,Methods,Constant Name,Constant Value,Class description
loss_list,,Internal list of loss data,,[SciDataTool.Classes.DataND.DataND],None,,,,Output,,get_loss,VERSION,1,Gather the loss module outputs
meshsol_list,,Internal list of loss meshsolutions,,[MeshSolution],None,,,,,,get_loss_dist,,,
loss_index,,Internal dict to index losses,,dict,{},,,,,,get_loss_group,,,
logger_name,-,Name of the logger to use,0,str,Pyleecan.Loss,,,,,,get_loss_overall,,,
axes_dict,,Dict containing axes data used for Magnetics,,{SciDataTool.Classes.DataND.Data},None,,,,,,store,,,
Pstator,W,Stator core losses due to hysteresis and eddy currents,,float,None,,,,,,,,,
Protor,W,Rotor core losses due to hysteresis and eddy currents,,float,None,,,,,,,,,
Pmagnet,W,Magnet eddy current losses,,float,None,,,,,,,,,
Pprox,W,Stator core losses,,float,None,,,,,,,,,
Pjoule,W,Stator core losses,,float,None,,,,,,,,,
coeff_dict,,Dict containing coefficients to rebuild loss polynom function of frequency,,dict,-1,,,,,,,,,
