Variable name,Unit,Description (EN),Size,Type,Default value,Minimum value,Maximum value,,Package,Inherit,Methods,Constant Name,Constant Value,Class description
W3,m,Teeth width,0,float,3.00E-03,0,,,Slot,Slot,_comp_line_dict,VERSION,1,
H2,m,Slot height,0,float,3.00E-03,0,,,,,_comp_point_coordinate,IS_SYMMETRICAL,1,
,,,,,,,,,,,build_geometry,,,
,,,,,,,,,,,build_geometry_active,,,
,,,,,,,,,,,check,,,
,,,,,,,,,,,comp_angle_opening,,,
,,,,,,,,,,,comp_height,,,
,,,,,,,,,,,comp_height_active,,,
,,,,,,,,,,,comp_surface,,,
,,,,,,,,,,,comp_surface_active,,,
,,,,,,,,,,,comp_surface_opening,,,
,,,,,,,,,,,get_surface_active,,,
,,,,,,,,,,,get_surface_opening,,,
,,,,,,,,,,,plot_schematics,,,
